Title,Upload Date,Module,Authors,Print Publication Date,DOI,ISBN,Sub-discipline,LINK,Site Module Name
Modern India: A Very Short Introduction,Nov-17,Social Sciences,Jeffrey,2017,10.1093/actrade/9780198769347.001.0001,9780198769347,"null, Social Sciences, Politics, Indian Politics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198769347.001.0001/actrade-9780198769347,VSIO_SUBJECTS:SOC00010
The World Trade Organization: A Very Short Introduction,Sep-13,Social Sciences,Narlikar,2005,10.1093/actrade/9780192806086.001.0001,9780192806086,"Social Sciences, Economics, International Economics, International Trade, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192806086.001.0001/actrade-9780192806086,VSIO_SUBJECTS:SOC00010
Environmental Economics: A Very Short Introduction,Sep-13,Social Sciences,Smith,2011,10.1093/actrade/9780199583584.001.0001,9780199583584,"Social Sciences, Economics, Agricultural, Environmental, and Natural Resource Economics, Environmental Economics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199583584.001.0001/actrade-9780199583584,VSIO_SUBJECTS:SOC00010
Leadership: A Very Short Introduction,Sep-13,Social Sciences,Grint,2010,10.1093/actrade/9780199569915.001.0001,9780199569915,"Social Sciences, Business and Management, Management and Management Techniques, Leadership and Motivation, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199569915.001.0001/actrade-9780199569915,VSIO_SUBJECTS:SOC00010
Keynes: A Very Short Introduction,Sep-13,Social Sciences,Skidelsky,2010,10.1093/actrade/9780199591640.001.0001,9780199591640,"Social Sciences, Economics, History of Economic Thought, Individual Economists, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199591640.001.0001/actrade-9780199591640,VSIO_SUBJECTS:SOC00010
Banking: A Very Short Introduction,Dec-16,Social Sciences,"Goddard, Wilson",2016,10.1093/actrade/9780199688920.001.0001,9780199688920,"Social Sciences, Economics, Financial Institutions and Services, Banking, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199688920.001.0001/actrade-9780199688920,VSIO_SUBJECTS:SOC00010
The Welfare State: A Very Short Introduction,Apr-16,Social Sciences,Garland,2016,10.1093/actrade/9780199672660.001.0001,9780199672660,"Social Sciences, Economics, Health, Education, and Welfare, Welfare and Poverty, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199672660.001.0001/actrade-9780199672660,VSIO_SUBJECTS:SOC00010
Taxation: A Very Short Introduction,Apr-15,Social Sciences,Smith,2015,10.1093/actrade/9780199683697.001.0001,9780199683697,"Social Sciences, Economics, Public Economics, Taxation, Subsidies, and Revenue, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199683697.001.0001/actrade-9780199683697,VSIO_SUBJECTS:SOC00010
Organized Crime: A Very Short Introduction,Feb-18,Social Sciences,"Antonopoulos, Papanicolaou",2018,10.1093/actrade/9780198795544.001.0001,9780198795544,"Social Sciences, Criminology and Criminal Justice, Forms of Crime, Organised Crime, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198795544.001.0001/actrade-9780198795544,VSIO_SUBJECTS:SOC00010
Branding: A Very Short Introduction,Jun-17,Social Sciences,Jones,2017,10.1093/actrade/9780198749912.001.0001,9780198749912,"Social Sciences, Business and Management, Marketing, Brand Management, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198749912.001.0001/actrade-9780198749912,VSIO_SUBJECTS:SOC00010
