Title,Upload Date,Module,Authors,Print Publication Date,DOI,ISBN,Sub-discipline,LINK,Site Module Name
Ethnomusicology: A Very Short Introduction,Dec-13,Arts and Humanities,Rice,2014,10.1093/actrade/9780199794379.001.0001,9780199794379,"Arts and Humanities, Music, Ethnomusicology, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199794379.001.0001/actrade-9780199794379,VSIO_SUBJECTS:AHU00010
Modern Latin American Literature: A Very Short Introduction,Sep-13,Arts and Humanities,Gonzalez Echevarria,2012,10.1093/actrade/9780199754915.001.0001,9780199754915,"Arts and Humanities, Literature, Literary Studies (Latin American and Caribbean), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199754915.001.0001/actrade-9780199754915,VSIO_SUBJECTS:AHU00010
The New Testament: A Very Short Introduction,Sep-13,Arts and Humanities,Johnson,2010,10.1093/actrade/9780199735709.001.0001,9780199735709,"Arts and Humanities, Religion, Biblical Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199735709.001.0001/actrade-9780199735709,VSIO_SUBJECTS:AHU00010
Hobbes: A Very Short Introduction,Sep-13,Arts and Humanities,Tuck,2002,10.1093/actrade/9780192802552.001.0001,9780192802552,"Arts and Humanities, Philosophy, Social and Political Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192802552.001.0001/actrade-9780192802552,VSIO_SUBJECTS:AHU00010
Monasticism: A Very Short Introduction,Jan-18,Arts and Humanities,Davis,2018,10.1093/actrade/9780198717645.001.0001,9780198717645,"Arts and Humanities, Religion, History of Religion, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198717645.001.0001/actrade-9780198717645,VSIO_SUBJECTS:AHU00010
Antisemitism: A Very Short Introduction,Sep-13,Arts and Humanities,Beller,2007,10.1093/actrade/9780192892775.001.0001,9780192892775,"Arts and Humanities, Religion, Judaism and Jewish Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192892775.001.0001/actrade-9780192892775,VSIO_SUBJECTS:AHU00010
Film: A Very Short Introduction,Sep-13,Arts and Humanities,Wood,2012,10.1093/actrade/9780192803535.001.0001,9780192803535,"Arts and Humanities, Media Studies, Film, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803535.001.0001/actrade-9780192803535,VSIO_SUBJECTS:AHU00010
The History of Childhood: A Very Short Introduction,Sep-18,Arts and Humanities,Marten,2018,10.1093/actrade/9780190681388.001.0001,9780190681388,"Arts and Humanities, History, Social and Cultural History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190681388.001.0001/actrade-9780190681388,VSIO_SUBJECTS:AHU00010
Russian Literature: A Very Short Introduction,Sep-13,Arts and Humanities,Kelly,2001,10.1093/actrade/9780192801449.001.0001,9780192801449,"Arts and Humanities, Literature, Literary Studies (European), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801449.001.0001/actrade-9780192801449,VSIO_SUBJECTS:AHU00010
World Music: A Very Short Introduction,Sep-13,Arts and Humanities,Bohlman,2002,10.1093/actrade/9780192854292.001.0001,9780192854292,"null, Arts and Humanities, Music, Ethnomusicology",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854292.001.0001/actrade-9780192854292,VSIO_SUBJECTS:AHU00010
Buddhist Ethics: A Very Short Introduction,Jun-20,Arts and Humanities,Keown,2020,10.1093/actrade/9780198850052.001.0001,9780198850052,"null, Arts and Humanities, Religion, Buddhism",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198850052.001.0001/actrade-9780198850052,VSIO_SUBJECTS:AHU00010
World Music: A Very Short Introduction,Jul-20,Arts and Humanities,Bohlman,2020,10.1093/actrade/9780198829140.001.0001,9780198829140,"null, Arts and Humanities, Music, Ethnomusicology",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198829140.001.0001/actrade-9780198829140,VSIO_SUBJECTS:AHU00010
Objectivity: A Very Short Introduction,Sep-13,Arts and Humanities,Gaukroger,2012,10.1093/actrade/9780199606696.001.0001,9780199606696,"null, Arts and Humanities, Philosophy, Epistemology",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199606696.001.0001/actrade-9780199606696,VSIO_SUBJECTS:AHU00010
Émile Zola: A Very Short Introduction,Jul-20,Arts and Humanities,Nelson,2020,10.1093/actrade/9780198837565.001.0001,9780198837565,"null, Arts and Humanities, Literature, Literary Studies (European)",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198837565.001.0001/actrade-9780198837565,VSIO_SUBJECTS:AHU00010
Philosophy: A Very Short Introduction,Sep-13,Arts and Humanities,Craig,2002,10.1093/actrade/9780192854216.001.0001,9780192854216,"null, Arts and Humanities, Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854216.001.0001/actrade-9780192854216,VSIO_SUBJECTS:AHU00010
Modern Brazil: A Very Short Introduction,Sep-20,Arts and Humanities,Pereira,2020,10.1093/actrade/9780198812081.001.0001,9780198812081,"null, Arts and Humanities, Society and Culture, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198812081.001.0001/actrade-9780198812081,VSIO_SUBJECTS:AHU00010
Philosophy: A Very Short Introduction,Sep-20,Arts and Humanities,Craig,2020,10.1093/actrade/9780198861775.001.0001,9780198861775,"null, Arts and Humanities, Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198861775.001.0001/actrade-9780198861775,VSIO_SUBJECTS:AHU00010
Love: A Very Short Introduction,Jan-15,Arts and Humanities,de Sousa,2015,10.1093/actrade/9780199663842.001.0001,9780199663842,"null, Arts and Humanities, Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199663842.001.0001/actrade-9780199663842,VSIO_SUBJECTS:AHU00010
War and Religion: A Very Short Introduction,Mar-21,Arts and Humanities,"Mitchell, Rey",2021,10.1093/actrade/9780198803218.001.0001,9780198803218,"null, Arts and Humanities, Religion, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198803218.001.0001/actrade-9780198803218,VSIO_SUBJECTS:AHU00010
Horror: A Very Short Introduction,Jun-21,Arts and Humanities,Jones,2021,10.1093/actrade/9780198755562.001.0001,9780198755562,"null, Arts and Humanities, Literature, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198755562.001.0001/actrade-9780198755562,VSIO_SUBJECTS:AHU00010
Ancient Egypt: A Very Short Introduction,Sep-13,Arts and Humanities,Shaw,2004,10.1093/actrade/9780192854193.001.0001,9780192854193,"null, Arts and Humanities, Egyptology, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854193.001.0001/actrade-9780192854193,VSIO_SUBJECTS:AHU00010
Ancient Egypt: A Very Short Introduction,Jan-21,Arts and Humanities,Shaw,2021,10.1093/actrade/9780198845461.001.0001,9780198845461,"null, Arts and Humanities, Egyptology, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198845461.001.0001/actrade-9780198845461,VSIO_SUBJECTS:AHU00010
Music: A Very Short Introduction,Sep-13,Arts and Humanities,Cook,2000,10.1093/actrade/9780192853820.001.0001,9780192853820,"null, Arts and Humanities, Music, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853820.001.0001/actrade-9780192853820,VSIO_SUBJECTS:AHU00010
Music: A Very Short Introduction,Feb-21,Arts and Humanities,Cook,2021,10.1093/actrade/9780198726043.001.0001,9780198726043,"null, Arts and Humanities, Music, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198726043.001.0001/actrade-9780198726043,VSIO_SUBJECTS:AHU00010
Religion: A Very Short Introduction,Nov-20,Arts and Humanities,Tweed,2020,10.1093/actrade/9780190064679.001.0001,9780190064679,"null, Arts and Humanities, Religion, Religious Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190064679.001.0001/actrade-9780190064679,VSIO_SUBJECTS:AHU00010
Environmental Ethics: A Very Short Introduction,Dec-18,Arts and Humanities,Attfield,2018,10.1093/actrade/9780198797166.001.0001,9780198797166,"null, Arts and Humanities, Philosophy, Practical Ethics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198797166.001.0001/actrade-9780198797166,VSIO_SUBJECTS:AHU00010
Philosophy of Religion: A Very Short Introduction,Feb-18,Arts and Humanities,Bayne,2018,10.1093/actrade/9780198754961.001.0001,9780198754961,"null, Arts and Humanities, Philosophy, Philosophy of Religion, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198754961.001.0001/actrade-9780198754961,VSIO_SUBJECTS:AHU00010
The English Language: A Very Short Introduction,Jan-18,Arts and Humanities,Horobin,2018,10.1093/actrade/9780198709251.001.0001,9780198709251,"null, Arts and Humanities, Linguistics, History of English, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198709251.001.0001/actrade-9780198709251,VSIO_SUBJECTS:AHU00010
Medical Ethics: A Very Short Introduction,Nov-18,Arts and Humanities,"Dunn, Hope",2018,10.1093/actrade/9780198815600.001.0001,9780198815600,"Arts and Humanities, Philosophy, Practical Ethics, Bioethics and Medical Ethics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198815600.001.0001/actrade-9780198815600,VSIO_SUBJECTS:AHU00010
Babylonia: A Very Short Introduction,Sep-16,Arts and Humanities,Bryce,2016,10.1093/actrade/9780198726470.001.0001,9780198726470,"Arts and Humanities, History, History by Period, Ancient History (Non-Classical, to 500 CE), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198726470.001.0001/actrade-9780198726470,VSIO_SUBJECTS:AHU00010
The Abrahamic Religions: A Very Short Introduction,Jan-20,Arts and Humanities,Cohen,2020,10.1093/actrade/9780190654344.001.0001,9780190654344,"Arts and Humanities, Religion, Religious Studies, Interfaith Relations, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190654344.001.0001/actrade-9780190654344,VSIO_SUBJECTS:AHU00010
Medical Ethics: A Very Short Introduction,Sep-13,Arts and Humanities,Hope,2004,10.1093/actrade/9780192802828.001.0001,9780192802828,"Arts and Humanities, Philosophy, Practical Ethics, Bioethics and Medical Ethics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192802828.001.0001/actrade-9780192802828,VSIO_SUBJECTS:AHU00010
The Treaty of Versailles: A Very Short Introduction,Mar-19,Arts and Humanities,Neiberg,2019,10.1093/actrade/9780190644987.001.0001,9780190644987,"Arts and Humanities, History, Military History, First World War, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190644987.001.0001/actrade-9780190644987,VSIO_SUBJECTS:AHU00010
Country Music: A Very Short Introduction,Nov-19,Arts and Humanities,Carlin,2020,10.1093/actrade/9780190902841.001.0001,9780190902841,"Arts and Humanities, Music, Musical Structures, Styles, and Techniques, Country and Western Music, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190902841.001.0001/actrade-9780190902841,VSIO_SUBJECTS:AHU00010
The Renaissance: A Very Short Introduction,Sep-13,Arts and Humanities,Brotton,2006,10.1093/actrade/9780192801630.001.0001,9780192801630,"Arts and Humanities, History, History by Period, Medieval and Renaissance History (500 to 1500), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801630.001.0001/actrade-9780192801630,VSIO_SUBJECTS:AHU00010
Critical Theory: A Very Short Introduction,Oct-17,Arts and Humanities,Bronner,2017,10.1093/actrade/9780190692674.001.0001,9780190692674,"Arts and Humanities, Philosophy, History of Western Philosophy, 20th-Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190692674.001.0001/actrade-9780190692674,VSIO_SUBJECTS:AHU00010
Leibniz: A Very Short Introduction,Nov-16,Arts and Humanities,Antognazza,2016,10.1093/actrade/9780198718642.001.0001,9780198718642,"Arts and Humanities, Philosophy, History of Western Philosophy, 17th - 18th Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198718642.001.0001/actrade-9780198718642,VSIO_SUBJECTS:AHU00010
Ancient Assyria: A Very Short Introduction,Mar-15,Arts and Humanities,Radner,2015,10.1093/actrade/9780198715900.001.0001,9780198715900,"Arts and Humanities, History, History by Period, Ancient History (Non-Classical, to 500 CE), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198715900.001.0001/actrade-9780198715900,VSIO_SUBJECTS:AHU00010
Heidegger: A Very Short Introduction,Sep-13,Arts and Humanities,Inwood,2000,10.1093/actrade/9780192854100.001.0001,9780192854100,"Arts and Humanities, Philosophy, History of Western Philosophy, 20th-Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854100.001.0001/actrade-9780192854100,VSIO_SUBJECTS:AHU00010
Machiavelli: A Very Short Introduction,Sep-13,Arts and Humanities,Skinner,2000,10.1093/actrade/9780192854070.001.0001,9780192854070,"Arts and Humanities, History, History by Period, Medieval and Renaissance History (500 to 1500), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854070.001.0001/actrade-9780192854070,VSIO_SUBJECTS:AHU00010
Stuart Britain: A Very Short Introduction,Sep-13,Arts and Humanities,Morrill,2000,10.1093/actrade/9780192854001.001.0001,9780192854001,"Arts and Humanities, History, History by Period, Early Modern History (1500 to 1700), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854001.001.0001/actrade-9780192854001,VSIO_SUBJECTS:AHU00010
Eighteenth-Century Britain: A Very Short Introduction,Sep-13,Arts and Humanities,Langford,2000,10.1093/actrade/9780192853998.001.0001,9780192853998,"Arts and Humanities, History, History by Period, Modern History (1700 to 1945), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853998.001.0001/actrade-9780192853998,VSIO_SUBJECTS:AHU00010
Nineteenth-Century Britain: A Very Short Introduction,Sep-13,Arts and Humanities,"Harvie, Matthew",2000,10.1093/actrade/9780192853981.001.0001,9780192853981,"Arts and Humanities, History, History by Period, Modern History (1700 to 1945), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853981.001.0001/actrade-9780192853981,VSIO_SUBJECTS:AHU00010
Wittgenstein: A Very Short Introduction,Sep-13,Arts and Humanities,Grayling,2001,10.1093/actrade/9780192854117.001.0001,9780192854117,"Arts and Humanities, Philosophy, History of Western Philosophy, 20th-Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854117.001.0001/actrade-9780192854117,VSIO_SUBJECTS:AHU00010
Augustine: A Very Short Introduction,Sep-13,Arts and Humanities,Chadwick,2001,10.1093/actrade/9780192854520.001.0001,9780192854520,"Arts and Humanities, Religion, Christianity, History of Christianity, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854520.001.0001/actrade-9780192854520,VSIO_SUBJECTS:AHU00010
Nietzsche: A Very Short Introduction,Sep-13,Arts and Humanities,Tanner,2000,10.1093/actrade/9780192854148.001.0001,9780192854148,"Arts and Humanities, Philosophy, History of Western Philosophy, 19th-Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854148.001.0001/actrade-9780192854148,VSIO_SUBJECTS:AHU00010
Roman Britain: A Very Short Introduction,Sep-13,Arts and Humanities,Salway,2000,10.1093/actrade/9780192854049.001.0001,9780192854049,"Arts and Humanities, History, Regional and National History, British History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854049.001.0001/actrade-9780192854049,VSIO_SUBJECTS:AHU00010
Medieval Britain: A Very Short Introduction,Sep-13,Arts and Humanities,"Gillingham, Griffiths",2000,10.1093/actrade/9780192854025.001.0001,9780192854025,"Arts and Humanities, History, History by Period, Medieval and Renaissance History (500 to 1500), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854025.001.0001/actrade-9780192854025,VSIO_SUBJECTS:AHU00010
Indian Philosophy: A Very Short Introduction,Sep-13,Arts and Humanities,Hamilton,2001,10.1093/actrade/9780192853745.001.0001,9780192853745,"Arts and Humanities, Philosophy, Non-Western Philosophy, South Asian Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853745.001.0001/actrade-9780192853745,VSIO_SUBJECTS:AHU00010
Hume: A Very Short Introduction,Sep-13,Arts and Humanities,Ayer,2000,10.1093/actrade/9780192854063.001.0001,9780192854063,"Arts and Humanities, Philosophy, History of Western Philosophy, 17th - 18th Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854063.001.0001/actrade-9780192854063,VSIO_SUBJECTS:AHU00010
The French Revolution: A Very Short Introduction,Sep-13,Arts and Humanities,Doyle,2001,10.1093/actrade/9780192853967.001.0001,9780192853967,"Arts and Humanities, History, History by Period, Modern History (1700 to 1945), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853967.001.0001/actrade-9780192853967,VSIO_SUBJECTS:AHU00010
The Anglo-Saxon Age: A Very Short Introduction,Sep-13,Arts and Humanities,Blair,2000,10.1093/actrade/9780192854032.001.0001,9780192854032,"Arts and Humanities, History, History by Period, Medieval and Renaissance History (500 to 1500), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854032.001.0001/actrade-9780192854032,VSIO_SUBJECTS:AHU00010
Gandhi: A Very Short Introduction,Sep-13,Arts and Humanities,Parekh,2001,10.1093/actrade/9780192854575.001.0001,9780192854575,"Arts and Humanities, History, Regional and National History, Asian History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854575.001.0001/actrade-9780192854575,VSIO_SUBJECTS:AHU00010
The Celts: A Very Short Introduction,Sep-13,Arts and Humanities,Cunliffe,2003,10.1093/actrade/9780192804181.001.0001,9780192804181,"Arts and Humanities, History, History by Period, Ancient History (Non-Classical, to 500 CE), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192804181.001.0001/actrade-9780192804181,VSIO_SUBJECTS:AHU00010
Southeast Asia: A Very Short Introduction,Jun-18,Arts and Humanities,Rush,2018,10.1093/actrade/9780190248765.001.0001,9780190248765,"Arts and Humanities, History, Regional and National History, Asian History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190248765.001.0001/actrade-9780190248765,VSIO_SUBJECTS:AHU00010
Habermas: A Very Short Introduction,Sep-13,Arts and Humanities,Finlayson,2005,10.1093/actrade/9780192840950.001.0001,9780192840950,"Arts and Humanities, Philosophy, History of Western Philosophy, 20th-Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192840950.001.0001/actrade-9780192840950,VSIO_SUBJECTS:AHU00010
The Crusades: A Very Short Introduction,Sep-13,Arts and Humanities,Tyerman,2005,10.1093/actrade/9780192806550.001.0001,9780192806550,"Arts and Humanities, History, History by Period, Medieval and Renaissance History (500 to 1500), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192806550.001.0001/actrade-9780192806550,VSIO_SUBJECTS:AHU00010
Ancient Philosophy: A Very Short Introduction,Sep-13,Arts and Humanities,Annas,2000,10.1093/actrade/9780192853578.001.0001,9780192853578,"Arts and Humanities, Philosophy, History of Western Philosophy, Ancient Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853578.001.0001/actrade-9780192853578,VSIO_SUBJECTS:AHU00010
Continental Philosophy: A Very Short Introduction,Sep-13,Arts and Humanities,Critchley,2001,10.1093/actrade/9780192853592.001.0001,9780192853592,"Arts and Humanities, Philosophy, History of Western Philosophy, Continental Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853592.001.0001/actrade-9780192853592,VSIO_SUBJECTS:AHU00010
Presocratic Philosophy: A Very Short Introduction,Sep-13,Arts and Humanities,Osborne,2004,10.1093/actrade/9780192840943.001.0001,9780192840943,"Arts and Humanities, Philosophy, History of Western Philosophy, Ancient Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192840943.001.0001/actrade-9780192840943,VSIO_SUBJECTS:AHU00010
Twentieth-Century Britain: A Very Short Introduction,Sep-13,Arts and Humanities,Morgan,2000,10.1093/actrade/9780192853974.001.0001,9780192853974,"Arts and Humanities, History, History by Period, Contemporary History (Post 1945), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853974.001.0001/actrade-9780192853974,VSIO_SUBJECTS:AHU00010
Ancient Warfare: A Very Short Introduction,Sep-13,Arts and Humanities,Sidebottom,2004,10.1093/actrade/9780192804709.001.0001,9780192804709,"Arts and Humanities, History, Military History, Ancient Warfare, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192804709.001.0001/actrade-9780192804709,VSIO_SUBJECTS:AHU00010
The Marquis de Sade: A Very Short Introduction,Sep-13,Arts and Humanities,Phillips,2005,10.1093/actrade/9780192804693.001.0001,9780192804693,"Arts and Humanities, Literature, Literary Studies (1500 to 1800), Literary Studies (18th Century), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192804693.001.0001/actrade-9780192804693,VSIO_SUBJECTS:AHU00010
The Spanish Civil War: A Very Short Introduction,Sep-13,Arts and Humanities,Graham,2005,10.1093/actrade/9780192803771.001.0001,9780192803771,"Arts and Humanities, History, History by Period, Modern History (1700 to 1945), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803771.001.0001/actrade-9780192803771,VSIO_SUBJECTS:AHU00010
Locke: A Very Short Introduction,Sep-13,Arts and Humanities,Dunn,2003,10.1093/actrade/9780192803948.001.0001,9780192803948,"Arts and Humanities, Philosophy, History of Western Philosophy, 17th - 18th Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803948.001.0001/actrade-9780192803948,VSIO_SUBJECTS:AHU00010
Foucault: A Very Short Introduction,Sep-13,Arts and Humanities,Gutting,2005,10.1093/actrade/9780192805577.001.0001,9780192805577,"Arts and Humanities, Philosophy, History of Western Philosophy, 20th-Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192805577.001.0001/actrade-9780192805577,VSIO_SUBJECTS:AHU00010
Modern Art: A Very Short Introduction,Sep-13,Arts and Humanities,Cottington,2005,10.1093/actrade/9780192803641.001.0001,9780192803641,"Arts and Humanities, Art, History of Art, 20th-Century Art, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803641.001.0001/actrade-9780192803641,VSIO_SUBJECTS:AHU00010
Russell: A Very Short Introduction,Sep-13,Arts and Humanities,Grayling,2002,10.1093/actrade/9780192802583.001.0001,9780192802583,"Arts and Humanities, Philosophy, History of Western Philosophy, 20th-Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192802583.001.0001/actrade-9780192802583,VSIO_SUBJECTS:AHU00010
Dada and Surrealism: A Very Short Introduction,Sep-13,Arts and Humanities,Hopkins,2004,10.1093/actrade/9780192802545.001.0001,9780192802545,"Arts and Humanities, Art, History of Art, 20th-Century Art, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192802545.001.0001/actrade-9780192802545,VSIO_SUBJECTS:AHU00010
Postmodernism: A Very Short Introduction,Sep-13,Arts and Humanities,Butler,2002,10.1093/actrade/9780192802392.001.0001,9780192802392,"Arts and Humanities, Philosophy, History of Western Philosophy, 20th-Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192802392.001.0001/actrade-9780192802392,VSIO_SUBJECTS:AHU00010
Renaissance Art: A Very Short Introduction,Sep-13,Arts and Humanities,Johnson,2005,10.1093/actrade/9780192803542.001.0001,9780192803542,"Arts and Humanities, Art, History of Art, Renaissance Art, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803542.001.0001/actrade-9780192803542,VSIO_SUBJECTS:AHU00010
Derrida: A Very Short Introduction,Sep-13,Arts and Humanities,Glendinning,2011,10.1093/actrade/9780192803450.001.0001,9780192803450,"Arts and Humanities, Philosophy, History of Western Philosophy, 20th-Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803450.001.0001/actrade-9780192803450,VSIO_SUBJECTS:AHU00010
Photography: A Very Short Introduction,Sep-13,Arts and Humanities,Edwards,2006,10.1093/actrade/9780192801647.001.0001,9780192801647,"Arts and Humanities, Art, Art Forms, Photography and Photographs, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801647.001.0001/actrade-9780192801647,VSIO_SUBJECTS:AHU00010
Plato: A Very Short Introduction,Sep-13,Arts and Humanities,Annas,2003,10.1093/actrade/9780192802163.001.0001,9780192802163,"Arts and Humanities, Philosophy, History of Western Philosophy, Ancient Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192802163.001.0001/actrade-9780192802163,VSIO_SUBJECTS:AHU00010
Poststructuralism: A Very Short Introduction,Sep-13,Arts and Humanities,Belsey,2002,10.1093/actrade/9780192801807.001.0001,9780192801807,"Arts and Humanities, Philosophy, History of Western Philosophy, 20th-Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801807.001.0001/actrade-9780192801807,VSIO_SUBJECTS:AHU00010
Kant: A Very Short Introduction,Sep-13,Arts and Humanities,Scruton,2001,10.1093/actrade/9780192801999.001.0001,9780192801999,"Arts and Humanities, Philosophy, History of Western Philosophy, 17th - 18th Century Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801999.001.0001/actrade-9780192801999,VSIO_SUBJECTS:AHU00010
Christian Ethics: A Very Short Introduction,Sep-13,Arts and Humanities,Long,2010,10.1093/actrade/9780199568864.001.0001,9780199568864,"Arts and Humanities, Religion, Christianity, Christian Life and Practice, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199568864.001.0001/actrade-9780199568864,VSIO_SUBJECTS:AHU00010
The Middle Ages: A Very Short Introduction,Oct-14,Arts and Humanities,Rubin,2014,10.1093/actrade/9780199697298.001.0001,9780199697298,"Arts and Humanities, History, History by Period, Medieval and Renaissance History (500 to 1500), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199697298.001.0001/actrade-9780199697298,VSIO_SUBJECTS:AHU00010
Rastafari: A Very Short Introduction,Sep-13,Arts and Humanities,Edmonds,2012,10.1093/actrade/9780199584529.001.0001,9780199584529,"Arts and Humanities, Religion, Christianity, Christian and Quasi-Christian Cults and Sects, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199584529.001.0001/actrade-9780199584529,VSIO_SUBJECTS:AHU00010
Agnosticism: A Very Short Introduction,Sep-13,Arts and Humanities,Le Poidevin,2010,10.1093/actrade/9780199575268.001.0001,9780199575268,"Arts and Humanities, Religion, Religious Studies, Agnosticism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199575268.001.0001/actrade-9780199575268,VSIO_SUBJECTS:AHU00010
Jesus: A Very Short Introduction,Sep-13,Arts and Humanities,Bauckham,2011,10.1093/actrade/9780199575275.001.0001,9780199575275,"Arts and Humanities, Religion, Christianity, The Historical Jesus, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199575275.001.0001/actrade-9780199575275,VSIO_SUBJECTS:AHU00010
German Philosophy: A Very Short Introduction,Sep-13,Arts and Humanities,Bowie,2010,10.1093/actrade/9780199569250.001.0001,9780199569250,"Arts and Humanities, Philosophy, History of Western Philosophy, Continental Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199569250.001.0001/actrade-9780199569250,VSIO_SUBJECTS:AHU00010
Modern War: A Very Short Introduction,Sep-13,Arts and Humanities,English,2013,10.1093/actrade/9780199607891.001.0001,9780199607891,"Arts and Humanities, History, Military History, Post-WW2 Military History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199607891.001.0001/actrade-9780199607891,VSIO_SUBJECTS:AHU00010
Iran: A Very Short Introduction,Nov-14,Arts and Humanities,Ansari,2014,10.1093/actrade/9780199669349.001.0001,9780199669349,"Arts and Humanities, History, Regional and National History, Middle Eastern History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199669349.001.0001/actrade-9780199669349,VSIO_SUBJECTS:AHU00010
The Palestinian-Israeli Conflict: A Very Short Introduction,Sep-13,Arts and Humanities,Bunton,2013,10.1093/actrade/9780199603930.001.0001,9780199603930,"Arts and Humanities, History, Regional and National History, Middle Eastern History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199603930.001.0001/actrade-9780199603930,VSIO_SUBJECTS:AHU00010
